"","name","WAT","EN_FOR","DN_FOR","DB_FOR","MIX_FOR","CL_SHB","OP_SHB","WOOD_SAV","SAV","GRA","WETL","CROP","URB","NAT_CROP","SNOW","BAR","ELEV_MAX","ELEV_AVE","ELEV_MIN","SMAX","SAVG","ASP","BIO_1","BIO_2","BIO_3","BIO_4","BIO_5","BIO_6","BIO_7","BIO_8","BIO_9","BIO_10","BIO_11","BIO_12","BIO_13","BIO_14","BIO_15","BIO_16","BIO_17","BIO_18","BIO_19"
"11","Aden Crater",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"1433.03991699219","1316.1133551918","1280.89721679688",10.612401008606,0.771079017352285,130.011191250404,16.5514374474684,18.7253332336744,47.0098942288444,790.453879200937,36.275749206543,-3.55699992179871,39.8327491283417,25.204624970754,16.3464998404185,26.3218332926432,6.91566661993663,257,57,5,77.7670095107677,144,19,118,41
"12","Aden Hills",0,0,0,0,0,0,99.67,0,0,0,0,0,0,0,0,0.33,"1439.79992675781","1341.80272261427","1289.70068359375",6.9965386390686,0.758027977200041,173.621814782137,16.2695936838475,19.2923331897085,47.7056439978605,790.42619777553,36.3742485046387,-4.65625,40.4316238164902,24.9859166145325,16.0233332316081,26.0714789231618,6.6638124982516,262,58,5,77.2015519105256,146,19.5,121,42
"13","Adobe Downs Ranch",0,0,0,0,0,0,19.44,0,0,80.56,0,0,0,0,0,0,"2109.068359375","1901.94070410265","1787.6328125",16.6925010681152,3.11639535709748,218.149052761962,10.3148230686784,17.3513958503803,40.8393062578929,903.958768656066,30.6112499237061,-11.8757495880127,42.4869995117188,16.875416914622,14.3658751149972,21.6841667493184,-0.59149972597758,320,41,11,28.9293505390143,107,49,83,77
"14","Afton",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"1330.22644042969","1284.67049614204","1265.94763183594",5.76146125793457,0.368205665894916,160.963760742835,16.4567603729665,19.2148959512512,46.9022043718967,810.009350449429,36.8127517700195,-4.15525007247925,40.9680018424988,25.3562084833781,12.1819583376249,26.4481245676676,6.56241677204768,252,57,5,75.8869418866684,138,20,115,39
"15","Afton NW",0,0,0,0,0,0,99.33,0,0,0.56,0,0,0,0,0,0.11,"1343.47229003906","1297.02443880582","1276.42358398438",2.25159502029419,0.397543162342625,161.914984879744,16.2524816902199,19.3459738668365,47.4997587934952,797.407279316268,36.8127517700195,-4.65625,40.7252498269081,25.0510728756587,13.9880208025376,26.1328329642614,6.55194794138273,258.5,58,5,76.5680511006847,142.75,19.75,119.25,41
"16","Agua Fria",0,0,0,0,0,0,4.78,0,0,88.67,0,0.67,5.89,0,0,0,"2119.23364257812","1987.43394467802","1875.01208496094",15.7495355606079,1.89225117874814,215.876976150281,9.95749479811639,16.8317083461831,42.0582465932713,836.880627646408,31.6905002593994,-10.8452501296997,39.9682505130768,19.6845416625341,4.90597927694519,20.4047291676203,-0.178531209627787,394.25,72.25,16.25,56.3952193488092,186.5,55.25,170.5,63.25
"17","Agua Fria Peak",0,38.33,0,0,0,0,0.33,2.22,0,57.11,0,1.89,0,0.11,0,0,"3369.2666015625","2920.69449722641","2455.71533203125",35.3249015808105,6.50212896363577,171.005284061726,4.64030208314459,15.5253646150231,44.1139267226223,725.051589776662,23.4354991912842,-15.46399974823,35.1946249008179,13.4762708048026,-4.01766667763392,13.7080729206403,-4.01766667763392,572.5,98,25.25,49.7689547620628,243,80.75,242.25,80.75
"18","Akela",0,0,0,0,0,0,99.89,0,0,0,0,0,0,0,0,0.11,"1284.64916992188","1252.14681072102","1239",3.33437561988831,0.212970862105669,190.178226390642,16.8061875595401,19.634104312708,48.1070797829927,793.801074641372,37.1207504272461,-4.07674980163574,40.8097505569458,25.5261460940043,16.6411039928595,26.64266705513,7.17291660110156,241.5,51,4,79.3779233336221,137.5,15.5,112,41
"19","Alameda",0,0,0,0,0,0,28.44,0,0,24.67,0,2.11,44.78,0,0,0,"2394.9169921875","1645.90491799962","1520",38.0363807678223,2.37914281895723,260.543524550771,13.1014269217849,16.7265206923087,41.5511539487406,857.55154154298,32.7299995422363,-7.52524995803833,40.2552495002747,22.9419581095378,2.75149997075399,23.8914996782939,2.75149997075399,267,48,12,49.487859467633,118,39,103,39
"20","Alamito",0,0,0,0,0,0,27.67,0.22,0,72.11,0,0,0,0,0,0,"1790.33288574219","1677.92804824769","1412.66198730469",36.134033203125,5.87474193249722,164.471766157111,11.6185312817494,15.6753543714682,41.9368192354605,800.157354009147,30.3457508087158,-7.03275012969971,37.3785009384155,21.6107918421427,1.89483340581258,21.6107918421427,1.89483340581258,389,72,9,69.0753833886596,192,30,192,30
"21","Alamo Mesa East",0,0,0,0,0,0,87,0,0,0.89,0,0,0,0,0,12.11,"2018.31506347656","1906.49478776838","1818.87524414062",7.13284492492676,1.54840698439449,222.233940497494,10.6132499823968,18.884708315134,43.4430830437739,887.764319242888,31.75,-11.7200002670288,43.4700002670288,21.0437084833781,14.5649580756823,21.7568751970927,-0.115958372751872,234,36,11,40.1985230946469,93,37,77,44
"22","Alamo Mesa West",0,0,0,0,0,0,91.33,0,0,0,0,0,0,0,0,8.67,"1956.71350097656","1852.59853509594","1759.04333496094",7.38926792144775,1.51937046803262,216.652582557124,10.9676354130109,18.7839377323786,43.3408806327774,888.889214539032,32.0932502746582,-11.2467498779297,43.3400001525879,21.4157498677572,14.9360000689824,22.1124582290649,0.234208345413208,225,35,10,41.7599452123273,90,34,74,43
"23","Alamo Mountain",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"2023.92395019531","1544.80822219772","1465.32580566406",37.4322395324707,1.75817843233656,188.024511787469,15.2109376539787,18.4239586293697,47.5607331959337,760.215149476945,34.1047515869141,-4.63299989700317,38.7377514839172,23.5089588165283,10.9532916943232,24.5534173647563,5.91320844491323,321,66,7,73.3083968573636,174,26,151,43
"24","Alamo Mountain NE",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"1562.69946289062","1427.65479451658","1361.48449707031",11.5440082550049,1.37711043883572,138.801947246913,15.391432441771,17.9975940436125,46.8723914528246,767.178985441343,34.8552513122559,-4.46175003051758,38.3861263990402,23.7091670831045,11.1573750674725,24.8066254456838,5.99125004808108,314,65.5,7,74.2378335808221,170.5,25,148,39
"25","Alamo Ranch",0,0,0,0,0,0,9,0,0,91,0,0,0,0,0,0,"1345.27331542969","1270.65249738055","1193.7685546875",4.85755777359009,0.989764763306989,129.24789624796,14.4196588393922,17.7434010114521,44.552740315643,806.1682096862,34.6414985656738,-5.89499998092651,39.8263130187988,23.5573750734329,6.18997922477623,24.2625625133514,4.43755211432775,373,72.25,10.5,65.1493339837516,179.5,33.5,172.5,34.75
"26","Alamogordo North",0,0,0,0,0,0.11,89.33,0,0,0.22,0,0.11,10.22,0,0,0,"2290.62231445312","1500.23683657651","1284.54760742188",32.8922729492188,5.52227626155009,237.76705371266,14.5764790276686,15.9997080365817,44.7854357582758,745.679967582514,32.0379981994629,-3.68724989891052,35.7252480983734,22.7042911847432,14.3234168887138,23.7762495676676,5.51445819934209,353,69,9,63.8959303307096,177,39,157,60
"27","Alamogordo South",0,0,0,0,0,1.56,96.33,1.44,0.11,0.11,0,0.11,0.33,0,0,0,"2464.48364257812","1517.06750360235","1227.73620605469",50.5242538452148,8.75554095624419,235.255224332116,14.6912393768628,16.5008123318354,45.1631622834183,755.607171013505,32.5687484741211,-3.96725010871887,36.53599858284,22.9156246185303,10.4884582956632,24.0003328323364,5.48854160308838,341,68,9,66.0521268628722,175,37,154,55
"28","Alamosa Canyon",0,0,0,0,0,0,36.44,0,0,63.56,0,0,0,0,0,0,"1529.69360351562","1410.00306646434","1276.83935546875",20.7808456420898,5.43301398860264,183.210574446178,13.2745207666109,16.3643750113746,41.7770283970199,841.314048942033,33.0499992370605,-6.12074995040894,39.1707491874695,23.7572496732076,3.00233348210653,23.7572496732076,3.00233348210653,386,73,8,69.4102634691657,190,28,190,28
"29","Alamosa Creek",0,0,0,0,0,0.22,6.22,0.89,0.11,92.56,0,0,0,0,0,0,"2211.38623046875","1853.11999816925","1669.19873046875",28.6571388244629,3.83065447168488,151.584131557671,10.5615313289066,17.6161460404595,45.5739285622103,777.953366179738,29.9179992675781,-8.73600006103516,38.6539993286133,20.3179999987284,1.11804183324178,20.3179999987284,1.11804183324178,415,79,10,69.7649321221208,205,33,205,33
"30","Albert",0,0,0,0,0,0,4.67,0,0,95.33,0,0,0,0,0,0,"1660.50695800781","1516.73593901126","1362.60131835938",17.9589080810547,3.51261395225568,159.268500091823,12.6597500443459,16.8920833667119,42.7978143603481,830.46946648143,32.4407501220703,-7.02874994277954,39.4695000648499,23.0544166564941,2.54112490018209,23.0544166564941,2.54112490018209,382,73,7,72.3873465840953,190,24,190,24
"31","Albuquerque East",0,0,0,0,0,0,16.78,0,0,21.56,0,0.22,61.44,0,0,0,"1884.25939941406","1634.04507372709","1536.20031738281",23.2312622070312,1.36352648235028,253.94515000361,13.4956459911385,15.6819168902002,40.0087164560627,860.041220465684,32.7307510375977,-6.46549987792969,39.1962509155273,23.3370002110799,3.1427917877833,24.3303335507711,3.1427917877833,258,47,12,50.6921785850339,115,37,100,37
"32","Albuquerque West",0,0,0,0,0,0,17.33,0,0,7.44,0,2.56,72.67,0,0,0,"1675.76647949219","1533.15418940191","1499.08764648438",11.4102792739868,1.07691540445256,170.34401270944,13.3117915168405,17.464708134532,42.700216198848,860.212798118978,33.5299987792969,-7.37074995040894,40.9007487297058,23.1700409253438,8.45087517301241,24.1342077255249,2.94566663106283,256,47,12,52.0193101371903,116,39,99,39
"33","Alegres Mountain",0,0.89,0,0,0,1.89,49.67,11.89,2,33.56,0,0.11,0,0,0,0,"3082.10302734375","2431.46665654239","2275.625",37.2754173278809,5.58700943408873,163.83594307325,8.09253384801559,20.0512759659129,49.3864391404463,750.182392985711,28.7917499542236,-13.1897497177124,40.5854997634888,16.7635311683019,11.5687292205791,17.4465624292692,-0.985875010490417,367.75,77.5,12,71.7142525987623,196.75,39.75,161.75,60.25
"34","Algerita Canyon",0,0,0,0,0,0,99.78,0.22,0,0,0,0,0,0,0,0,"1936.28088378906","1638.73567778892","1231.82958984375",36.4509696960449,5.40631207267758,171.05783264036,14.493531152606,15.4590622484684,43.1170026995204,758.092060767398,31.8229999542236,-4.03074979782104,35.8537497520447,22.5351667404175,10.3193746805191,23.7167083422343,5.07591656843821,393,79,9,76.047779364211,213,33,182,41
"35","Alire",0,0.44,0,0,0,0,0.22,4,0.11,95.22,0,0,0,0,0,0,"2456.744140625","2278.08694186606","2035.92395019531",24.2349586486816,3.08195673345032,183.937549568979,7.18720837434133,18.4310419559479,43.6539890999358,842.917958923244,27.3325004577637,-14.8882503509521,42.2207508087158,17.3048334121704,10.3045418262482,17.4774169127146,-3.21533346176147,441,74,25,40.7907142080888,179,79,160,83
"36","Alivio",0,0,0,0,0,0,94.67,0,0,5.33,0,0,0,0,0,0,"1643.27661132812","1406.21936615352","1312.82116699219",21.6545372009277,1.71866547616913,128.525435131652,15.2490834370255,19.0896666894356,47.647630454244,783.106267336595,35.2432518005371,-4.82100009918213,40.0642518997192,24.0338335037231,10.8560001552105,25.0336667696635,5.77624996503194,279,60,4,76.9695293439203,155,20,131,43
"37","Allie Canyon",0,0.44,0,0,0,57.11,28.22,12.56,1,0.67,0,0,0,0,0,0,"2524.2958984375","2107.63866250937","1860.39135742188",31.8040733337402,8.97246774664292,155.85587338917,9.89026044309139,18.5730208059152,50.2031208184686,681.368362121965,28.1362495422363,-8.85949993133545,36.9957494735718,17.9734166463216,8.59312496582667,18.4086666107178,1.83762510617574,451,93,8,73.335769939933,241,39,202,82
"38","Alma",0,0,0,0,0,0.11,74,0.44,0,23.33,0,2.11,0,0,0,0,"1909.64599609375","1611.35698128227","1479.95910644531",31.7649097442627,4.60832658411537,160.328238302461,12.8147605036696,20.9652708818515,51.578571827834,728.731558325406,32.9347496032715,-7.71250009536743,40.6472496986389,21.6896252632141,15.5869586765766,21.9750420252482,4.3139583269755,411,72,10,59.36070457424,194,38,158,89
"39","Alma Mesa",0,0.22,0,0,0,28.78,51.67,9.22,2.44,7.67,0,0,0,0,0,0,"2570.62377929688","1870.35110440712","1584.59704589844",35.0700378417969,8.47544695358986,171.551876819484,11.4976771374544,19.3243540724119,50.4200178006931,705.043977396394,30.6254997253418,-7.70125007629395,38.3267498016357,20.1282086372375,14.0619582335154,20.3987085024516,3.34033330281576,447,80,11,60.8867708365964,213,41,176,95
"40","Alps Mesa",0,0.89,0,0,0,0,1.67,2.33,0,91.11,0,3.89,0,0.11,0,0,"2296.41772460938","2079.6874161284","1846.15100097656",27.9484710693359,6.72949945140744,158.358254544228,9.09579169253508,15.3699584106604,41.6087452068868,800.512899308835,27.7390003204346,-9.20024967193604,36.9392499923706,19.1173748970032,-0.465166568756104,19.1173748970032,-0.465166568756104,416,78,10,66.2659301951855,197,34,197,34
"41","Alston Ranch",0,0,0,0,0,0,1.33,0,0,98.67,0,0,0,0,0,0,"1267.82348632812","1245.12546064656","1221.04162597656",0.973456680774689,0.210293878483309,108.360969778748,14.9521821439266,17.6237393816312,45.0677319242903,791.969977276194,34.1382484436035,-5.25799989700317,39.1049990653992,23.6875830491384,5.10062495867411,24.5844786167145,5.10062495867411,413.5,71,9,68.809723665199,198.5,33,190.5,33
"42","Alto De Hormiga",0,0,0,0,0,0.33,1.56,1.11,0,97,0,0,0,0,0,0,"2090.34814453125","1891.33442947433","1787.0693359375",17.2668781280518,2.10842715994595,163.471642404416,10.1436979497472,18.509062503775,46.1673376368538,794.359257746628,30.0942497253418,-9.99699974060059,40.0912494659424,20.0440834363302,0.425999959309896,20.0440834363302,0.425999959309896,417,81,10,69.8550137578549,205,32,205,32
