#,name,Chukar.Occurrence,Galbreath,Chukar.Occurrence.Regression
200,Cayuse Mountain,P,Y,1
201,Cedar Flats,A,N,0
202,Cedarville,A,N,0
203,Cedonia,A,Y,0
204,Center,A,N,0
205,Centerville,A,Y,0
206,Central Ferry,P,Y,1
207,Central Park,A,N,0
208,Central Peak,A,N,0
209,Centralia,A,N,0
210,Chapman Lake,A,Y,0
211,Chattaroy,A,Y,0
212,Chelan,P,N,1
213,Chelan Falls,P,Y,1
214,Cheney,A,Y,0
215,Chesaw,A,Y,0
216,Chester Morse Lake,A,N,0
217,Chewelah,A,Y,0
218,Chief Joseph Dam,P,Y,1
219,Chikamin Creek,P,N,1
220,Chikamin Peak,A,Y,0
221,Chiliwist Valley,P,Y,1
222,Chimney Peak,A,N,0
223,China Bend,A,Y,0
224,Chinook,A,N,0
225,Chinook Pass,A,Y,0
226,Chiwaukum Mountains,A,N,0
227,Christmas Creek,A,N,0
228,Chumstick Mountain,P,N,1
229,Churchill Mountain,A,Y,0
230,Clallam Bay,A,Y,0
231,Clark Mountain,A,N,0
232,Clarkston,P,Y,1
233,Clayton,A,Y,0
234,Cle Elum,A,Y,0
235,Cle Elum Lake,A,Y,0
236,Clear West Peak,A,Y,0
237,Cliff Ridge,A,Y,0
238,Cliffdell,A,Y,0
239,Clyde,P,Y,1
240,Coal Creek,A,N,0
241,Cody Butte,A,N,0
242,Cody Lake,A,N,0
243,Coffeepot Lake,P,Y,1
244,Coleman Hill,P,Y,1
245,Coleman Peak,P,Y,1
246,Colfax North,A,Y,0
247,Colfax South,A,Y,0
248,College Place,P,Y,1
249,Colockum Pass,P,Y,1
250,Colockum Pass SE,P,Y,1
251,Colockum Pass SW,P,Y,1
252,Colonel Bob,A,N,0
253,Colton,P,Y,1
254,Columbia Point,P,Y,1
255,Colville,A,Y,0
256,Conconully East,P,Y,1
257,Conconully West,P,Y,1
258,Connell,P,Y,1
259,Connell SE,P,Y,1
260,Conway,A,Y,0
261,Cooke Mountain,A,N,0
262,Cooper Mountain,P,Y,1
263,Cooper Ridge,P,N,1
264,Copalis Beach,A,N,0
265,Copalis Crossing,A,N,0
266,Coppei,P,Y,1
267,Copper Butte,A,N,0
268,Copper Mountain,A,Y,0
269,Corfu,P,Y,1
270,Cormana Lake,A,Y,0
271,Corral Butte,P,Y,1
272,Corral Canyon,P,Y,1
273,Cougar,A,N,0
274,Cougar Lake,A,Y,0
275,Cougar Mountain,A,N,0
276,Coulee City,P,Y,1
277,Coupeville,A,Y,0
278,Cowlitz Falls,A,N,0
279,Coxit Mountain,P,Y,1
280,Coyote Butte,P,Y,1
281,Coyote Mountain,A,N,0
282,Coyote Rapids,P,Y,1
283,Crater Mountain,A,Y,0
284,Crawfish Lake,P,Y,1
285,Crescent Harbor,A,Y,0
286,Creston,A,Y,0
287,Creston Butte,A,Y,0
288,Crider Valley,A,Y,0
289,Crow Butte,P,N,1
290,Cumberland,A,N,0
291,Curlew,A,N,0
292,Curtis,A,N,0
293,Cusick,A,N,0
294,Cyclone Creek,A,N,0
